Q415233,CHEMBL1797299
Q415238,CHEMBL83668
Q415242,CHEMBL1455
Q415324,CHEMBL371197
Q415343,CHEMBL1201572
Q415376,CHEMBL194931
Q415401,CHEMBL218490
Q415563,CHEMBL1078384
Q415571,CHEMBL403664
Q415746,CHEMBL159776
Q415768,CHEMBL498416
Q415798,CHEMBL526744
Q415850,CHEMBL267894
Q415877,CHEMBL1368
Q415885,CHEMBL464982
Q415939,CHEMBL515
Q415996,CHEMBL231068
Q416065,CHEMBL18620
Q416077,CHEMBL113150
Q416096,CHEMBL562
Q416113,CHEMBL1085946
Q416138,CHEMBL379064
Q416237,CHEMBL30008
Q416283,CHEMBL451432
Q416410,CHEMBL1308
Q416439,CHEMBL559288
Q416451,CHEMBL1489
Q416473,CHEMBL776
Q416503,CHEMBL288470
Q416584,CHEMBL475534
Q416632,CHEMBL623
Q416667,CHEMBL6715
Q416677,CHEMBL1516410
Q416682,CHEMBL72628
Q416760,CHEMBL1087
Q416950,CHEMBL1389
Q417035,CHEMBL116574
Q417178,CHEMBL315795
Q417194,CHEMBL1418176
Q417219,CHEMBL1200324
Q417260,CHEMBL525408
Q417347,CHEMBL160520
Q417555,CHEMBL1200536
Q417614,CHEMBL347698
Q417625,CHEMBL105
Q417654,CHEMBL855
Q417740,CHEMBL503
Q417765,CHEMBL595
Q417788,CHEMBL164660
Q417897,CHEMBL9
Q418031,CHEMBL530115
Q418038,CHEMBL1229846
Q418082,CHEMBL122334
Q418157,CHEMBL1574
Q418167,CHEMBL282121
Q418179,CHEMBL1450
Q418235,CHEMBL1357
Q418274,CHEMBL1201507
Q418318,CHEMBL34833
Q418369,CHEMBL553
Q418386,CHEMBL609
Q418437,CHEMBL119604
Q418529,CHEMBL1425
Q418592,CHEMBL364571
Q418594,CHEMBL1349
Q418666,CHEMBL877
Q418669,CHEMBL806
Q418702,CHEMBL1201439
Q418705,CHEMBL606553
Q418719,CHEMBL221319
Q418747,CHEMBL508162
Q418767,CHEMBL1200691
Q418813,CHEMBL395827
